"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H3","BRA","0901","Brazil","BRA","Brazil",2013,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2014,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2015,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2016,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2017,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2018,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2019,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2020,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2021,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2022,"Import",5,0
"H3","BRA","0901","Brazil","BRA","Brazil",2023,"Import",5,0
"H3","BRA","1701","Brazil","CHN","China",2013,"Import",5,8.85
"H3","BRA","1701","Brazil","CHN","China",2014,"Import",5,7.242
"H3","BRA","1701","Brazil","CHN","China",2015,"Import",5,14.092
"H3","BRA","1701","Brazil","CHN","China",2016,"Import",5,5.25
"H3","BRA","1701","Brazil","CHN","China",2017,"Import",5,7.486
"H3","BRA","1701","Brazil","CHN","China",2018,"Import",5,8.003
"H3","BRA","1701","Brazil","CHN","China",2019,"Import",5,13.748
"H3","BRA","1701","Brazil","CHN","China",2020,"Import",5,13.071
"H3","BRA","1701","Brazil","CHN","China",2021,"Import",5,17.322
"H3","BRA","1701","Brazil","CHN","China",2022,"Import",5,8.441
"H3","BRA","1701","Brazil","CHN","China",2023,"Import",5,7.525
"H3","BRA","3105","Brazil","BRA","Brazil",2016,"Import",5,0
"H3","BRA","3105","Brazil","BRA","Brazil",2017,"Import",5,0
"H3","BRA","3105","Brazil","BRA","Brazil",2019,"Import",5,0
"H3","BRA","3105","Brazil","BRA","Brazil",2021,"Import",5,0
"H3","BRA","3105","Brazil","BRA","Brazil",2023,"Import",5,0
"H3","BRA","3105","Brazil","CHN","China",2013,"Import",5,307492.163
"H3","BRA","3105","Brazil","CHN","China",2014,"Import",5,575364.901
"H3","BRA","3105","Brazil","CHN","China",2015,"Import",5,474220.761
"H3","BRA","3105","Brazil","CHN","China",2016,"Import",5,276447.743
"H3","BRA","3105","Brazil","CHN","China",2017,"Import",5,423133.007
"H3","BRA","3105","Brazil","CHN","China",2018,"Import",5,360979.292
"H3","BRA","3105","Brazil","CHN","China",2019,"Import",5,343680.965
"H3","BRA","3105","Brazil","CHN","China",2020,"Import",5,252261.363
"H3","BRA","3105","Brazil","CHN","China",2021,"Import",5,1299679.864
"H3","BRA","3105","Brazil","CHN","China",2022,"Import",5,868835.329
"H3","BRA","3105","Brazil","CHN","China",2023,"Import",5,491408.177
"H3","CHN","0901","China","BRA","Brazil",2013,"Import",5,5499.306
"H3","CHN","0901","China","BRA","Brazil",2014,"Import",5,7950.074
"H3","CHN","0901","China","BRA","Brazil",2015,"Import",5,12258.044
"H3","CHN","0901","China","BRA","Brazil",2016,"Import",5,9803.775
"H3","CHN","0901","China","BRA","Brazil",2017,"Import",5,12628.509
"H3","CHN","0901","China","BRA","Brazil",2018,"Import",5,21561.419
"H3","CHN","0901","China","BRA","Brazil",2019,"Import",5,24287.093
"H3","CHN","0901","China","BRA","Brazil",2020,"Import",5,24490.428
"H3","CHN","0901","China","BRA","Brazil",2021,"Import",5,54729.234
"H3","CHN","0901","China","BRA","Brazil",2022,"Import",5,77766.134
"H3","CHN","0901","China","BRA","Brazil",2023,"Import",5,221166.72
"H3","CHN","0901","China","CHN","China",2014,"Import",5,0
"H3","CHN","0901","China","CHN","China",2015,"Import",5,0
"H3","CHN","0901","China","CHN","China",2016,"Import",5,0
"H3","CHN","0901","China","CHN","China",2017,"Import",5,0
"H3","CHN","0901","China","CHN","China",2018,"Import",5,0
"H3","CHN","0901","China","CHN","China",2019,"Import",5,0
"H3","CHN","0901","China","CHN","China",2020,"Import",5,0
"H3","CHN","0901","China","CHN","China",2021,"Import",5,0
"H3","CHN","0901","China","CHN","China",2022,"Import",5,0
"H3","CHN","0901","China","CHN","China",2023,"Import",5,0
"H3","CHN","1701","China","BRA","Brazil",2013,"Import",5,1432882.292
"H3","CHN","1701","China","BRA","Brazil",2014,"Import",5,861751.936
"H3","CHN","1701","China","BRA","Brazil",2015,"Import",5,943390.547
"H3","CHN","1701","China","BRA","Brazil",2016,"Import",5,704472.52
"H3","CHN","1701","China","BRA","Brazil",2017,"Import",5,369744.315
"H3","CHN","1701","China","BRA","Brazil",2018,"Import",5,221738.819
"H3","CHN","1701","China","BRA","Brazil",2019,"Import",5,437097.063
"H3","CHN","1701","China","BRA","Brazil",2020,"Import",5,1268283.918
"H3","CHN","1701","China","BRA","Brazil",2021,"Import",5,1820778.459
"H3","CHN","1701","China","BRA","Brazil",2022,"Import",5,1981892.519
"H3","CHN","1701","China","BRA","Brazil",2023,"Import",5,1917667.333
"H3","CHN","1701","China","CHN","China",2013,"Import",5,0
"H3","CHN","1701","China","CHN","China",2014,"Import",5,0
"H3","CHN","1701","China","CHN","China",2015,"Import",5,0
"H3","CHN","1701","China","CHN","China",2016,"Import",5,0
"H3","CHN","1701","China","CHN","China",2017,"Import",5,0
"H3","CHN","1701","China","CHN","China",2018,"Import",5,0
"H3","CHN","1701","China","CHN","China",2019,"Import",5,0
"H3","CHN","1701","China","CHN","China",2020,"Import",5,0
"H3","CHN","1701","China","CHN","China",2021,"Import",5,0
"H3","CHN","1701","China","CHN","China",2022,"Import",5,0
"H3","CHN","1701","China","CHN","China",2023,"Import",5,0
"H3","CHN","3105","China","BRA","Brazil",2014,"Import",5,0.03
"H3","CHN","3105","China","BRA","Brazil",2017,"Import",5,36.756
"H3","CHN","3105","China","BRA","Brazil",2019,"Import",5,0.22
"H3","CHN","3105","China","BRA","Brazil",2021,"Import",5,0.564
"H3","CHN","3105","China","BRA","Brazil",2022,"Import",5,318.398
"H3","CHN","3105","China","BRA","Brazil",2023,"Import",5,918.835
"H3","CHN","3105","China","CHN","China",2013,"Import",5,0
"H3","CHN","3105","China","CHN","China",2014,"Import",5,0
"H3","CHN","3105","China","CHN","China",2015,"Import",5,0
"H3","CHN","3105","China","CHN","China",2016,"Import",5,0
"H3","CHN","3105","China","CHN","China",2017,"Import",5,0
"H3","CHN","3105","China","CHN","China",2018,"Import",5,0
"H3","CHN","3105","China","CHN","China",2019,"Import",5,0
"H3","CHN","3105","China","CHN","China",2020,"Import",5,0
"H3","CHN","3105","China","CHN","China",2021,"Import",5,0
"H3","CHN","3105","China","CHN","China",2022,"Import",5,0
"H3","CHN","3105","China","CHN","China",2023,"Import",5,0
